created_at,favorite_count,favorited,filter_level,lang,retweet_count,retweeted,source,text,truncated,user_created_at,user_followers_count,user_location,user_lang,user_name,user_screen_name,user_time_zone,user_utc_offset,user_friends_count
Mon Apr 09 04:10:12 +0000 2018,0,FALSE,low,ko,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @_dada105: \xeb\xaf\xb8\xec\xb3\xa4\xeb\x8b\xa4 \xeb\xb6\x81\xeb\xaf\xb8\xec\x97\x90\xec\x84\x9c \xec\x97\xad\xeb\x8c\x80 \xed\x9e\x88\xec\x96\xb4\xeb\xa1\x9c \xec\x98\x81\xed\x99\x94 \xec\xa4\x91\xec\x97\x90 \xec\xb5\x9c\xea\xb3\xa0 \xec\x88\x98\xec\x9d\xb5\xec\x9d\x84 \xeb\x8b\xac\xec\x84\xb1\xed\x96\x88\xeb\x8d\x98 \xeb\xb8\x94\xeb\x9e\x99\xed\x8c\xac\xec\x84\x9c\xea\xb0\x80 \xec\x9d\xb4\xeb\xb2\x88\xec\x97\x94 \xed\x83\x80\xec\x9d\xb4\xed\x83\x80\xeb\x8b\x89\xec\x9d\x84 \xec\xa0\x9c\xec\xb9\x98\xea\xb3\xa0 \xeb\xb6\x81\xeb\xaf\xb8 \xeb\xb0\x95\xec\x8a\xa4\xec\x98\xa4\xed\x94\xbc\xec\x8a\xa4 \xec\x97\xad\xec\x82\xac\xec\x83\x81 \xec\x84\xb8\xeb\xb2\x88\xec\xa7\xb8\xeb\xa1\x9c \xed\x9d\xa5\xed\x96\x89\xed\x95\x9c \xec\x98\x81\xed\x99\x94\xea\xb0\x80 \xeb\x90\x90\xeb\x8b\xa4\xeb\x8a\x94 \xec\x86\x8c\xec\x8b\x9d\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\n(1\xec\x9c\x84\xeb\x8a\x94 \xec\x8a\xa4\xed\x83\x80\xec\x9b\x8c\xec\xa6\x88 \xea\xb9\xa8\xec\x96\xb4\xeb\x82\x9c\xed\x8f\xac\xec\x8a\xa4 2\xec\x9c\x84\xeb\x8a\x94 \xec\x95\x84\xeb\xb0\x94\xed\x83\x80) https://t.\xe2\x80\xa6',FALSE,Thu Jun 19 06:23:08 +0000 2014,1131,?,ko,b'\xec\x88\xaf',b'areenabee',,,294
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:12 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Fri Dec 02 18:43:55 +0000 2016,61,,en,b'ChrisLovesYall \xf0\x9f\x91\xbd',b'Chuck_Mangioni',,,159
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:12 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @MichelleHux: Black Panther just passed Titanic and is now the third highest grossing film of all time in the U.S. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.\xe2\x80\xa6',FALSE,Wed Jan 18 22:58:51 +0000 2012,3323,la la land,en,b'D.',b'just_dye',Eastern Time (US & Canada),-14400,3112
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:12 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @Jasmine_blu: omg look what happened when i was waiting to meet black panther ; w ; \xe2\x99\xa1 https://t.co/QxEsGTQooL',FALSE,Fri May 07 22:45:25 +0000 2010,561,Wakanda,en,"b'large fries, no ice\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb1'",b'Spycoo16',Alaska,-28800,315
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:12 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Thu Jul 23 06:06:01 +0000 2015,75,"Philadelphia, PA",en,b'SLW\xf0\x9f\x8d\xab',b'_killakir',,,368
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:13 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @Jasmine_blu: omg look what happened when i was waiting to meet black panther ; w ; \xe2\x99\xa1 https://t.co/QxEsGTQooL',FALSE,Mon Oct 29 01:04:01 +0000 2012,753,,en,b'Michaela',b'JeffersMichaela',Eastern Time (US & Canada),-14400,514
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:15 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'",b'RT @_CharlesPreston: Even more amazing is that he wrote his doctoral dissertation on himself. https://t.co/FUJF6PMRVH',FALSE,Mon Jul 14 04:49:31 +0000 2014,5193,Occupied Mattaponi land,en,b'apologized denied!',b'QGotNoRings',,,305
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:16 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sun Sep 11 20:20:14 +0000 2011,725,,en,b'Jeanelle \xf0\x9f\x87\xb5\xf0\x9f\x87\xb7',b'jeanellenicolem',Eastern Time (US & Canada),-14400,1342
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:16 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'","b'RT @CNN: ""Black Panther"" passes ""Titanic"" at the box office https://t.co/njHZ5QuKql https://t.co/wnYV0zmxgi'",FALSE,Tue Mar 11 15:46:49 +0000 2014,115,,en,b'Magezi Apuuli',b'magezipr',,,224
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:16 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @MichelleHux: Black Panther just passed Titanic and is now the third highest grossing film of all time in the U.S. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.\xe2\x80\xa6',FALSE,Wed Aug 20 00:08:39 +0000 2014,213,,en,b'SAI\xf0\x9f\x95\x8a\xf0\x9f\x95\x8a',b'humblesaiii',,,287
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:18 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Mon Apr 06 13:03:35 +0000 2015,403,"gnv, fl",en,b'maggie \xe2\x98\xad',b'maggie_ryals',Eastern Time (US & Canada),-14400,376
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:18 +0000 2018,0,FALSE,low,tl,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'want ko panoorin pacific rim uprising \xe2\x98\xb9\xef\xb8\x8f',FALSE,Sun Dec 27 16:20:50 +0000 2015,630,Angeles City Pampanga,en,b'ya\xc5\x84ny',b'yanyuuuuuun',Pacific Time (US & Canada),-25200,515
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:18 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @MichelleHux: Black Panther just passed Titanic and is now the third highest grossing film of all time in the U.S. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.\xe2\x80\xa6',FALSE,Fri Oct 22 01:37:36 +0000 2010,755,In bed with my headphones in ,en,b'Maya Tomlin',b'KioshiWarrior',Central Time (US & Canada),-18000,220
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:18 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sat Dec 24 22:26:35 +0000 2011,525,"Columbia, SC",en,b'Jasmine \xf0\x9f\x92\x9e',b'x_goodviibees',Eastern Time (US & Canada),-14400,454
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:19 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Fri Nov 25 16:55:03 +0000 2016,51,"Atlanta, GA",en,b'sims 4 stan account',b'juicyshakur',Pacific Time (US & Canada),-25200,57
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:20 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @chancetherapper: S/o @Tip forreal. I never knew the founder of The Black Panther Party earned a Ph.D in Social Science from the Univers\xe2\x80\xa6',FALSE,Sun Jun 29 23:41:12 +0000 2014,383,,en,b'yaari\xe2\x9d\xa3\xef\xb8\x8f',b'WorldOfYaa',,,441
,,,,,,,,,,,,,,,,,,
